name,url_key,chain_type,caip2,evm_chain_id,deployment,chain_name,description,da_layer,symbol,bucket,ecosystem,colors,logo,technology,purpose,launch_date,enable_contracts,l2beat_stage,l2beat_link,l2beat_id,raas,stack,website,twitter,block_explorer,block_explorers,rhino_listed,rhino_naming,origin_key
All L2s,all-l2s,-,,,PROD,-,,,,-,"['op-stack', 'op-super', 'all-chains']","{'light': ['#FFDF27', '#FE5468'], 'dark': ['#FFDF27', '#FE5468'], 'darkTextOnBackground': False}","{'body': '<svg width=""15"" height=""15"" viewBox=""0 0 15 15"" fill=""none"" xmlns=""http://www.w3.org/2000/svg""><circle cx=""7.5"" cy=""7.5"" r=""7.5"" fill=""currentColor""/></svg>', 'width': 15, 'height': 15}",,,,False,"{'stage': None, 'hex': '#DFDFDF'}",https://l2beat.com,,,,,,,,False,,all_l2s
Arbitrum One,arbitrum,L2,eip155-42161,42161.0,PROD,Arbitrum,"Arbitrum One is developed by Offchain Labs. It uses an optimistic rollup approach and is fully EVM compatible, making it developer-friendly.",Ethereum (blobs),ARB,Other Optimistic Rollups,['all-chains'],"{'light': ['#2ECEE8', '#2ECEE8'], 'dark': ['#1DF7EF', '#1DF7EF'], 'darkTextOnBackground': True}","{'body': '<path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M6.49882 0.25C6.31305 0.25 6.12598 0.298774 5.95898 0.397507L0.728432 3.47222C0.394175 3.6685 0.188599 4.03154 0.188599 4.4241V10.5747C0.188599 10.9674 0.394305 11.3303 0.728432 11.5266L1.66702 12.0784L4.50997 4.14223C4.54389 4.04693 4.6327 3.98392 4.73199 3.98392H6.05827C6.14125 3.98392 6.1986 4.06723 6.16935 4.14579L3.03893 12.885L5.96015 14.6025C6.12728 14.7 6.31305 14.75 6.49998 14.75C6.68692 14.75 6.87282 14.7012 7.03981 14.6025L12.2715 11.5266C12.6058 11.3303 12.8114 10.9673 12.8114 10.5747V4.4241C12.8114 4.03141 12.6057 3.6685 12.2715 3.47222L7.03865 0.397507C6.87152 0.298774 6.68459 0.25 6.49882 0.25ZM8.71446 5.36421C8.75187 5.25836 8.89906 5.25836 8.93647 5.36421L11.0654 11.2629L9.69353 12.0696L8.02497 7.45488C8.00633 7.40136 8.00633 7.34297 8.02497 7.28945L8.71446 5.36421ZM6.86452 10.5272L7.55401 8.60199C7.59142 8.49613 7.73848 8.49613 7.7759 8.60199L9.14775 12.3897L7.7759 13.1964L6.86452 10.6927C6.84588 10.6391 6.84588 10.5807 6.86452 10.5272ZM7.05276 3.98392H8.37903C8.46085 3.98392 8.5182 4.06723 8.49011 4.14579L4.95634 14.0114L3.58449 13.2046L6.83074 4.14223C6.86465 4.04693 6.95346 3.98392 7.05276 3.98392Z"" fill=""currentColor""/> ', 'width': 13}",Optimistic Rollup,General Purpose (EVM),2021-08-31,True,"{'stage': 'Stage 1', 'hex': '#FFEC44'}",https://l2beat.com/scaling/projects/arbitrum,arbitrum,Self-hosted,"{'label': 'Arbitrum Nitro', 'url': 'https://arbitrum.io/orbit'}",https://arbitrum.io/,https://twitter.com/arbitrum,https://arbiscan.io/,"{'Arbiscan': 'https://arbiscan.io/', 'Blockscout': 'https://arbitrum.blockscout.com/'}",True,ARBITRUM,arbitrum
Base,base,L2,eip155-8453,8453.0,PROD,Base,"Base is an Ethereum Layer 2 offering a secure, low-cost, builder-friendly way for anyone, anywhere, to build onchain.",Ethereum (blobs),,OP Chains,"['op-stack', 'op-super', 'all-chains']","{'light': ['#2151F5', '#2151F5'], 'dark': ['#2151F5', '#2151F5'], 'darkTextOnBackground': False}","{'body': '<g fill=""none""><path d=""M7.48692 15C11.6363 15 15 11.6422 15 7.5C15 3.35786 11.6363 0 7.48692 0C3.55025 0 0.320738 3.02245 0 6.86958H9.93056V8.13042H5.39358e-08C0.320739 11.9775 3.55025 15 7.48692 15Z"" fill=""currentColor""/></g>', 'width': 15, 'height': 15}",Optimistic Rollup,General Purpose (EVM),2023-07-13,True,"{'stage': 'Stage 0', 'hex': '#FF8B36'}",https://l2beat.com/scaling/projects/base,base,Self-hosted,"{'label': 'OP Stack, Superchain', 'url': 'https://docs.optimism.io/stack/getting-started'}",https://base.org/,https://twitter.com/base,https://basescan.org/,"{'BaseScan': 'https://basescan.org/', 'Blockscout': 'https://base.blockscout.com/'}",True,BASE,base
Blast,blast,L2,eip155-81457,81457.0,PROD,Blast,Blast is an EVM-compatible Optimistic Rollup which invests bridged funds in order to offer native yield to its users.,Ethereum (blobs),BLAST,Other Optimistic Rollups,['all-chains'],"{'light': ['#E9E238', '#E9E238'], 'dark': ['#FEFF00', '#FEFF00'], 'darkTextOnBackground': True}","{'body': '<path d=""M2.48555 3L0 4.89504H12.7168L12.0617 6.96501H6.96532L6.44509 8.59767H11.545L10.7514 11.105H3.61272L5.08671 6.44023L3.43931 5.2449L0.982659 13H10.1734L12.5723 11.8047L13.4343 9.12333L11.8208 7.92711L14.2014 6.7374L15 4.25364L13.3815 3H2.48555Z"" fill=""currentColor""/>', 'width': 15, 'height': 15}",Optimistic Rollup,General Purpose (EVM),2024-02-29,False,"{'stage': 'Stage 0', 'hex': '#FF8B36'}",https://l2beat.com/scaling/projects/blast,blast,Self-hosted,"{'label': 'OP Stack', 'url': 'https://docs.optimism.io/stack/getting-started'}",https://blast.io/en,https://twitter.com/Blast_L2,https://blastscan.io/,{'Blast Explorer': 'https://blastscan.io/'},True,BLAST,blast
Derive,derive,L2,eip155-957,957.0,DEV,Derive,"Derive (former Lyra) is built using the OP Stack specially for Derive protocol - a settlement protocol for spot, perpetuals, and options trading.",Celestia,LYRA,Offchain Data Availability,['all-chains'],"{'light': ['#FA8836', '#FA8836'], 'dark': ['#FA8836', '#FA8836'], 'darkTextOnBackground': True}","{'body': '<path d=""M14.7816 8.80945L9.34856 0.622879C9.32166 0.583246 9.25965 0.599565 9.25731 0.647358C9.24444 0.854849 9.06896 1.96108 7.81715 1.96108C6.80167 1.96108 6.33254 1.77923 5.28664 1.77923C4.92513 1.77923 4.49461 1.98323 4.26881 2.32477L3.8418 2.96823L7.92946 9.12535H9.52873C10.0002 9.12535 10.4401 9.36082 10.6998 9.75248L11.6755 11.2247H15.0004V9.53217C15.0004 9.27572 14.9244 9.02393 14.7816 8.80945ZM10.3231 5.30308C9.66678 5.03847 9.15553 3.87746 9.15553 3.87746C10.4822 3.87746 11.376 5.45229 11.376 5.45229C11.376 5.45229 10.9806 5.56769 10.3243 5.30308H10.3231Z"" fill=""currentColor""/><path d=""M9.8641 14.3724H3.86012C3.42842 14.3724 3.02714 14.158 2.78848 13.799L0.233397 9.94873C-0.077799 9.48014 -0.077799 8.87281 0.233397 8.4042L3.07628 4.125H3.07745L9.8641 14.3736V14.3724Z"" fill=""currentColor""/>', 'width': 15, 'height': 15}",Optimium,Exchange,2023-12-15,False,"{'stage': 'NA', 'hex': '#DFDFDF'}",https://l2beat.com/scaling/projects/derive,lyra,Conduit,"{'label': 'OP Stack', 'url': 'https://docs.optimism.io/stack/getting-started'}",https://www.derive.xyz/,https://x.com/derivexyz,https://explorer.lyra.finance/,{'Blockscout': 'https://explorer.lyra.finance/'},False,,derive
Ethereum,ethereum,L1,eip155-1,1.0,PROD,Ethereum,"Ethereum, proposed by Vitalik Buterin in 2013 and launched in 2015, is the most decentralized smart contract to date and aiming to scale via Layer 2s.",,ETH,Layer 1,[],"{'light': ['#8B8B8B', '#8B8B8B'], 'dark': ['#C1C1C1', '#C1C1C1'], 'darkTextOnBackground': True}","{'body': '<g fill=""none""><g clip-path=""url(#svgID0)""><g fill=""currentColor"" clip-path=""url(#svgID1)""><path d=""M4.499 10.898v3.64l4.478-6.276-4.478 2.636Zm0-5.514v4.671l4.477-2.642L4.5 5.383Z""/><path d=""M4.499 0v5.383l4.477 2.03L4.5 0ZM4.5 10.898v3.64L.021 8.261l4.477 2.636Zm0-5.514v4.671L.021 7.414l4.477-2.03ZM4.499 0v5.383L.022 7.413 4.499 0Z""/></g></g><defs><clipPath id=""svgID0""><path fill=""#fff"" d=""M0 0h9v14.539H0z""/></clipPath><clipPath id=""svgID1""><path fill=""#fff"" d=""M.021 0h8.957v14.539H.021z""/></clipPath></defs></g>', 'width': 9}",Mainnet,General Purpose (EVM),2015-07-30,False,"{'stage': 'NA', 'hex': '#DFDFDF'}",https://l2beat.com,,Self-hosted,"{'label': 'Custom', 'url': None}",https://ethereum.org/,https://twitter.com/ethereum,https://etherscan.io/,"{'Etherscan': 'https://etherscan.io/', 'Blockscout': 'https://eth.blockscout.com/'}",True,ETHEREUM,ethereum
Immutable X,immutable-x,L2,,,PROD,IMX,"Immutable X is a game-specific (not EVM compatible) zk rollup for minting, transferring, and trading tokens/NFTs at high volumes with zero gas fees.",DAC,IMX,Offchain Data Availability,['all-chains'],"{'light': ['#3ECDA7', '#3ECDA7'], 'dark': ['#3AFCC9', '#3AFCC9'], 'darkTextOnBackground': True}","{'body': '<g fill=""none""><g clip-path=""url(#svgID1)""><mask id=""svgID0"" width=""15"" height=""12"" x=""0"" y=""2"" maskUnits=""userSpaceOnUse"" style=""mask-type:luminance""><path fill=""#fff"" d=""M14.286 2.144H.714V13.13h13.572V2.144Z""/></mask><g fill=""currentColor"" mask=""url(#svgID0)""><path d=""M12.83 2.144h1.426l-5.78 6.572a.455.455 0 00-.01.593l3.33 3.86h-1.484L7.236 9.59l-.156-.194a.455.455 0 01.01-.594l5.74-6.66Z""/><path d=""M9.619 9.309c-.098-.107-.127-.263-.098-.399a.618.618 0 01.137-.214l.38-.418 4.248 4.89h-1.348s-2.49-2.897-3.32-3.86Zm-7.421 3.86H.714l4.55-5.24a.442.442 0 000-.584L.754 2.144h1.425l4.54 5.24c.117.156.137.38.01.525-1.192 1.37-4.53 5.26-4.53 5.26Zm2.48-11.025H3.311L7.52 6.995s.01-.01.479-.564c.127-.146.156-.33.01-.476-.88-.895-3.33-3.811-3.33-3.811Zm4.101 3.383 2.92-3.383h-1.387L8.789 3.913l-.44.515a.455.455 0 00-.01.593c.108.127.44.506.44.506ZM6.24 9.785 3.321 13.17h1.377l1.523-1.77.44-.515a.455.455 0 00.009-.593l-.43-.506Z""/></g></g><defs><clipPath id=""svgID1""><path fill=""#fff"" d=""M.714 2.143h13.571v10.986H.714z""/></clipPath></defs></g>'}",Validium,"Gaming, NFTs",2021-03-26,False,"{'stage': 'NA', 'hex': '#DFDFDF'}",https://l2beat.com/scaling/projects/immutablex,immutablex,Self-hosted,"{'label': 'Custom', 'url': None}",https://www.immutable.com/,https://twitter.com/immutable,https://immutascan.io/,{'Immutascan': 'https://immutascan.io/'},False,,imx
Linea,linea,L2,eip155-59144,59144.0,PROD,Linea,"Linea is a developer-friendly ZK Rollup by ConsenSys, enhancing Ethereum by enabling a new wave of decentralized applications.",Ethereum (blobs),,ZK-Rollups,['all-chains'],"{'light': ['#9CE5FF', '#9CE5FF'], 'dark': ['#A9E9FF', '#A9E9FF'], 'darkTextOnBackground': True}","{'body': ""<g clip-path='url(#clip0_4148_14743)'><path d='M10.966 13.9999H1V3.10938H3.28024V11.8893H10.966V13.9988V13.9999Z' fill='currentColor'/><path d='M10.966 5.21895C12.0893 5.21895 13 4.27451 13 3.10948C13 1.94444 12.0893 1 10.966 1C9.84266 1 8.93201 1.94444 8.93201 3.10948C8.93201 4.27451 9.84266 5.21895 10.966 5.21895Z' fill='currentColor'/></g><defs><clipPath id='clip0_4148_14743'><rect width='12' height='13' fill='white' transform='translate(1 1)'/></clipPath></defs>"", 'width': 15, 'height': 15}",ZK Rollup,General Purpose (EVM),2023-07-12,True,"{'stage': 'Stage 0', 'hex': '#FF8B36'}",https://l2beat.com/scaling/projects/linea,linea,Self-hosted,"{'label': 'Custom', 'url': None}",https://linea.build/,https://twitter.com/LineaBuild,https://lineascan.build/,"{'LineaScan': 'https://lineascan.build/', 'Blockscout': 'https://explorer.linea.build/'}",True,LINEA,linea
Loopring,loopring,L2,,,PROD,Loopring,Loopring is a zk Rollup exchange and payment protocol. It is arguably the oldest rollup with its mainnet launch in December 2019.,Ethereum (calldata),LRC,ZK-Rollups,['all-chains'],"{'light': ['#4F5EDF', '#4F5EDF'], 'dark': ['#4F5EDF', '#4F5EDF'], 'darkTextOnBackground': False}","{'body': ""<path d='M9.12 7.33891H15V7.38494L5.80667 12.908L10.38 9.31799L9.12 7.33891ZM5.66667 2V13L1 9.31799L5.66667 2Z' fill='currentColor'/>"", 'width': 15, 'height': 15}",ZK Rollup,"Token Transfers, Swaps",2019-12-04,False,"{'stage': 'Stage 0', 'hex': '#FF8B36'}",https://l2beat.com/scaling/projects/loopring,loopring,Self-hosted,"{'label': 'Custom', 'url': None}",https://loopring.org/,https://twitter.com/loopringorg,https://explorer.loopring.io/,{'Loopring Explorer': 'https://explorer.loopring.io/'},False,,loopring
Manta Pacific,manta,L2,eip155-169,169.0,PROD,Manta,Manta Pacific is an Optimium empowering EVM-native zero-knowledge (ZK) applications and general dapps.,Celestia,MANTA,Offchain Data Availability,['all-chains'],"{'light': ['#FB4FF2', '#FB4FF2'], 'dark': ['#FB4FF2', '#FB4FF2'], 'darkTextOnBackground': False}","{'body': '<path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M3.48709 12.8784C1.85055 11.6556 0.788723 9.70111 0.788723 7.5C0.788723 3.79484 3.79484 0.788723 7.5 0.788723C10.5591 0.788723 13.8995 2.61685 14.7065 5.41711C13.8037 2.28872 10.9199 0 7.5 0C3.3587 0 0 3.3587 0 7.5C0 11.6413 3.3587 15 7.5 15C11.6413 15 15 11.6413 15 7.5V7.10461H14.5883C14.5761 7.10461 14.5577 7.10461 14.5333 7.10461C14.4844 7.10461 14.4151 7.10259 14.3254 7.09852C14.1481 7.09238 13.9035 7.08014 13.6284 7.05572C13.0659 7.00678 12.4239 6.91102 11.9878 6.73575C11.2846 6.4545 10.8872 6.08358 10.4348 5.64741L10.4083 5.62298C9.95381 5.18681 9.44428 4.69566 8.55773 4.27989C7.68548 3.87024 6.72145 3.93546 6.01425 4.0822C5.65556 4.15557 5.34577 4.2534 5.1277 4.33288C5.01764 4.3716 4.93003 4.40829 4.86891 4.43274C4.51223 4.58356 4.16576 4.76086 3.81726 4.92595C3.81726 4.92595 4.50408 5.11345 4.84238 5.21944C4.85461 5.22352 4.87298 5.22961 4.89947 5.23777C4.95042 5.25408 5.02378 5.28056 5.11139 5.31727C5.29078 5.39062 5.52516 5.49863 5.75747 5.64947C6.12431 5.88384 6.42797 6.18141 6.55233 6.54417C5.7758 6.64608 5.04619 6.98845 4.5 7.30842C4.16984 7.50202 3.8947 7.69767 3.70109 7.84237C3.6053 7.91578 3.52785 7.97691 3.47486 8.0197C3.43003 8.05641 2.72894 8.67389 2.72894 8.67389C2.72894 8.67389 3.63383 8.7697 4.08016 8.85938C4.37772 8.91848 4.77717 9.01631 5.19703 9.16102C5.61684 9.30774 6.04078 9.49931 6.39333 9.74592C6.74592 9.99253 7.00477 10.2758 7.13109 10.6019C7.50202 11.5516 7.13723 12.4748 6.40556 12.9945C5.68205 13.5082 4.58356 13.6305 3.48505 12.8764L3.48709 12.8784ZM6.04688 14.0523C6.34237 13.9565 6.61753 13.8159 6.86616 13.6406C7.86075 12.9334 8.38453 11.6372 7.86891 10.3166C7.66509 9.79688 7.27786 9.40148 6.84783 9.09984C6.41578 8.79825 5.9205 8.57812 5.45991 8.41711C5.15827 8.31112 4.86483 8.22961 4.61005 8.16848C4.70175 8.10938 4.79756 8.04825 4.90148 7.98708C5.50884 7.63045 6.27516 7.30233 7.00884 7.30233C8.11547 7.30233 8.93888 7.64264 9.72553 8.00545C9.79688 8.03803 9.86822 8.07267 9.94158 8.1053C10.6447 8.43548 11.3825 8.78194 12.2405 8.78194C13.0985 8.78194 13.7201 8.54756 14.1664 8.30297C13.769 11.6291 10.9382 14.2092 7.50408 14.2092C7.00477 14.2092 6.51764 14.1542 6.05095 14.0523H6.04688ZM13.3105 7.81997C13.0149 7.91986 12.6562 7.99322 12.2385 7.99322C11.5659 7.99322 10.9871 7.7242 10.2534 7.38178C10.1882 7.35122 10.123 7.32066 10.0557 7.29009C9.31997 6.94973 8.47013 6.58898 7.36345 6.52378C7.21467 5.79211 6.66033 5.29078 6.18342 4.98506C6.13045 4.95042 6.07744 4.9178 6.02447 4.88723C6.07134 4.87702 6.12023 4.86483 6.17119 4.85461C6.81112 4.72214 7.57336 4.68952 8.21944 4.99523C8.98575 5.35598 9.41986 5.77172 9.87023 6.20381L9.88655 6.21806C10.3492 6.66234 10.8404 7.12908 11.6943 7.47145C12.1692 7.66102 12.7846 7.76292 13.3105 7.81997Z"" fill=""currentColor""/>', 'width': 15, 'height': 15}",Optimium,General Purpose (EVM),2023-09-12,False,"{'stage': 'NA', 'hex': '#DFDFDF'}",https://l2beat.com/scaling/projects/mantapacific,mantapacific,Caldera,"{'label': 'OP Stack', 'url': 'https://docs.optimism.io/stack/getting-started'}",https://pacific.manta.network/,https://twitter.com/MantaNetwork,https://pacific-explorer.manta.network/,{'Blockscout': 'https://pacific-explorer.manta.network/'},False,,manta
